"","6_16470_lung","6_16605_lung","6_16629_lung","6_16673_lung","6_16727_lung","6_16736_lung","6_16832_lung","6_16620_lung","7_16477_lung","7_16559_lung","7_16678_lung","9_16482_lung","9_16680_lung","9_16721_lung","9_17064_lung","11_16483_lung","11_16496_lung","11_16545_lung","11_16561_lung","11_16577_lung","11_16598_lung","11_16643_lung","11_16681_lung","11_16829_lung","11_16979_lung"
"sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Eremococcus",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae",0,0,5,2,0,0,0,0,5,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0
"sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Dolosigranulum",1,0,9,7,0,0,0,0,6,1,0,2,0,0,0,0,0,6,0,0,0,2,1,0,0
"sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella",1,0,14,3,0,0,1,0,10,0,0,10,3,3,0,0,0,0,0,0,0,0,1,0,0
"sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Lacticigenium;s__Lacticigenium_naphtae",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae",0,0,2,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0
"sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae",1,0,22,5,0,0,1,1,15,1,1,3,3,4,0,7,0,44,1,1,37,7,4,7,2
"sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus",29,3,329,142,15,2,15,4,468,42,38,152,76,80,31,138,38,1230,27,126,1523,185,135,224,50
"sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_anginosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,0,2,3,0,0,1,0
"sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_intermedius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,22,0,0,2,2,2,1,0
"sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_sanguinis",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
"sk__Bacteria;k__;p__Firmicutes;c__Clostridia",1,0,9,9,2,0,0,1,1,0,0,0,0,0,0,2,2,5,0,6,2,1,0,1,0
